,idSucursal,comercioId,banderaId,banderaDescripcion,comercioRazonSocial,provincia,localidad,direccion,lat,lng,sucursalNombre,sucursalTipo
0,7,1,1,Super Mami,Dinosaurio S.A.,Ar-X,Salsipuedes,E53 1011 None,-31.126667,-64.29525,Super Mami 4,Hipermercado
1,1,10,1,Hipermercado Carrefour,Inc S.A.,Ar-B,San Isidro,Bernardo De Irigoyen 2647,-34.491345,-58.589025,San Isidro,Hipermercado
2,10,10,1,Hipermercado Carrefour,Inc S.A.,Ar-B,Hurlingham,Av. Vergara 1910,-34.62061,-58.633769,Villa Tesei,Hipermercado
3,11,10,1,Hipermercado Carrefour,Inc S.A.,Ar-B,Malvinas Argentinas,Av. Arturo Illia 3770,-34.528883,-58.701631000000006,Malvinas Argentinas,Hipermercado
4,112,10,1,Hipermercado Carrefour,Inc S.A.,Ar-A,Salta,20 De Febrero 37,-24.789072,-65.413699,Salta,Hipermercado
5,12,10,1,Hipermercado Carrefour,Inc S.A.,Ar-B,San Justo,Av. Don Bosco 2680,-34.664628,-58.59735600000001,San Justo,Hipermercado
6,123,10,1,Hipermercado Carrefour,Inc S.A.,Ar-J,San Juan,Gral. Acha 32,-31.534016,-68.524744,San Juan,Supermercado
7,128,10,1,Hipermercado Carrefour,Inc S.A.,Ar-U,Comodoro Rivadavia,Pellegrini 851,-45.861562,-67.479968,Comodoro Rivadavia,Hipermercado
8,136,10,1,Hipermercado Carrefour,Inc S.A.,Ar-R,General Roca,25 De Mayo 622,-39.030326,-67.573775,General Roca,Supermercado
9,139,10,1,Hipermercado Carrefour,Inc S.A.,Ar-B,Olavarria,Rivadavia 2846,-36.893694,-60.32165,Olavarria,Hipermercado
10,142,10,1,Hipermercado Carrefour,Inc S.A.,Ar-V,Rio Grande,Av. San Martin 685,-53.785009,-67.70299,Rio Grande,Supermercado
11,147,10,1,Hipermercado Carrefour,Inc S.A.,Ar-L,Santa Rosa,Avellaneda 151,-36.618338,-64.291249,Santa Rosa,Hipermercado
12,149,10,1,Hipermercado Carrefour,Inc S.A.,Ar-R,Bariloche,Moreno 909,-41.136201,-71.29679200000002,Bariloche,Hipermercado
13,15,10,1,Hipermercado Carrefour,Inc S.A.,Ar-B,San Martin,Av. San Martin 420,-34.586322,-58.519449,San Martin,Hipermercado
14,156,10,1,Hipermercado Carrefour,Inc S.A.,Ar-B,San Nicolas,Bartolome Mitre 264,-33.331816,-60.220188,San Nicolas,Hipermercado
15,157,10,1,Hipermercado Carrefour,Inc S.A.,Ar-Q,Neuquen,Av. Coronel Olascoaga 350,-38.958858,-68.058932,Neuquen,Hipermercado
16,159,10,1,Hipermercado Carrefour,Inc S.A.,Ar-W,Corrientes,Av. Ferre 2985,-27.477092,-58.815872,Corrientes,Hipermercado
17,16,10,1,Hipermercado Carrefour,Inc S.A.,Ar-B,Monte Grande,Camino De Cintura 2200,-34.780839,-58.457944,Monte Grande,Hipermercado
18,161,10,1,Hipermercado Carrefour,Inc S.A.,Ar-V,Ushuaia,12 De Octubre 169,-54.815339,-68.334293,Ushuaia,Hipermercado
19,162,10,1,Hipermercado Carrefour,Inc S.A.,Ar-U,Trelew,Soberania Nacional 140,-43.257504,-65.305489,Trelew,Hipermercado
20,17,10,1,Hipermercado Carrefour,Inc S.A.,Ar-M,Guaymallen,Av. Acceso Este Lateral Sur None,-32.908234,-68.789274,Mendoza Guaymallen,Hipermercado
21,171,10,1,Hipermercado Carrefour,Inc S.A.,Ar-A,Salta,Av. Bicentenario Batalla De Salta 702,-24.781285,-65.401667,Salta Iii,Hipermercado
22,175,10,1,Hipermercado Carrefour,Inc S.A.,Ar-A,Salta,Av. Entre Rios 1816,-24.779652,-65.427437,Salta Vii,Hipermercado
23,178,10,1,Hipermercado Carrefour,Inc S.A.,Ar-K,San Fernando Del Valle De Catamarca,Hipolito Yrigoyen 1283,-28.477093,-65.778283,Catamarca,Supermercado
24,179,10,1,Hipermercado Carrefour,Inc S.A.,Ar-U,Puerto Madryn,Gales 1315,-42.775492,-65.048586,Puerto Madryn,Hipermercado
25,18,10,1,Hipermercado Carrefour,Inc S.A.,Ar-S,Rosario,Av. Circunvalacion None,-32.904529,-60.727936,Rosario Fisherton,Hipermercado
26,180,10,1,Hipermercado Carrefour,Inc S.A.,Ar-V,Rio Grande,Peru 76,-53.774139,-67.721621,Rio Grande Ii,Hipermercado
27,183,10,1,Hipermercado Carrefour,Inc S.A.,Ar-B,Maschwitz,Juan Bautista Alberdi 555,-34.395346999999994,-58.738836,Maschwitz,Hipermercado
28,2,10,1,Hipermercado Carrefour,Inc S.A.,Ar-B,Vicente Lopez,Av. Del Libertador 215,-34.532302,-58.468176,Vicente Lopez,Hipermercado
29,204,10,1,Hipermercado Carrefour,Inc S.A.,Ar-B,Olivos,Gob. Ugarte 1980,-34.516305,-58.494552,Ugarte,Hipermercado
30,21,10,1,Hipermercado Carrefour,Inc S.A.,Ar-B,Moreno,Av. Gaona Y Graham Bell None,-34.633337,-58.764283,Moreno,Hipermercado
31,210,10,1,Hipermercado Carrefour,Inc S.A.,Ar-B,Zarate,Av. Lavalle 1879,-34.113271999999995,-59.020315,Zarate,Hipermercado
32,214,10,1,Hipermercado Carrefour,Inc S.A.,Ar-C,Ciudad Autonoma De Buenos Aires,Jose Pedro Varela 4750,-34.610359,-58.516538,Villa Devoto,Hipermercado
33,217,10,1,Hipermercado Carrefour,Inc S.A.,Ar-B,San Miguel,Av. Pdte. J. D. Peron 111,-34.553106,-58.69825600000001,Bella Vista,Hipermercado
34,219,10,1,Hipermercado Carrefour,Inc S.A.,Ar-C,Ciudad Autonoma De Buenos Aires,Av. Donato Alvarez 1351,-34.611087,-58.460584,Caballito,Hipermercado
35,22,10,1,Hipermercado Carrefour,Inc S.A.,Ar-B,Mar Del Plata,Av. Constitucion 7598,-37.953878,-57.579192000000006,Mar Del Plata,Hipermercado
36,220,10,1,Hipermercado Carrefour,Inc S.A.,Ar-C,Ciudad Autonoma De Buenos Aires,Av. Roosevelt 5749,-34.577205,-58.494765,Villa Urquiza,Hipermercado
37,227,10,1,Hipermercado Carrefour,Inc S.A.,Ar-B,Bernal,Av. Dardo Rocha 849,-34.715471,-58.298863,Bernal,Hipermercado
38,229,10,1,Hipermercado Carrefour,Inc S.A.,Ar-B,Pergamino,Santiago Del Estero 1351,-33.900993,-60.55175500000001,Pergamino,Hipermercado
39,23,10,1,Hipermercado Carrefour,Inc S.A.,Ar-B,Adrogue,Hipolito Yrigoyen 13500,-34.812068,-58.39941700000001,Adrogue,Hipermercado
40,231,10,1,Hipermercado Carrefour,Inc S.A.,Ar-B,Lomas De Zamora,Oliden 450,-34.768774,-58.411275,Lomas De Zamora,Hipermercado
41,232,10,1,Hipermercado Carrefour,Inc S.A.,Ar-B,Campana,Colectora Norte 1647,-34.18654,-58.945418,Campana Ii,Hipermercado
42,233,10,1,Hipermercado Carrefour,Inc S.A.,Ar-E,Concordia,Av. Eva Peron 2250,-31.368882,-58.011377,Concordia,Hipermercado
43,234,10,1,Hipermercado Carrefour,Inc S.A.,Ar-B,Don Torcuato,Av. Angel T. De Alvear 1960,-34.491603000000005,-58.62767,Don Torcuato,Hipermercado
